gene	number	code	class
SETDB1	2	1000100	Transcription factor,Chromatin remodeller
SF1	3	1101000	RNA binding protein,Transcription cofactor,Transcription factor
SF3B1	2	1001000	RNA binding protein,Transcription factor
SFMBT1	2	0100001	Polycomb group (PcG) protein,Transcription cofactor
SFPQ	2	1001000	RNA binding protein,Transcription factor
SFT2D1	1	0010000	Others
SHOX	1	1000000	Transcription factor
SHOX2	1	1000000	Transcription factor
SIN3A	2	1100000	Transcription factor,Transcription cofactor
SIN3B	2	1100000	Transcription factor,Transcription cofactor
SIRT1	2	0100100	Transcription cofactor,Chromatin remodeller
SIRT6	3	1100100	Chromatin remodeller,Transcription cofactor,Transcription factor
SIRT6	3	1100100	Chromatin remodeller,Transcription factor,Transcription cofactor
SIX1	1	1000000	Transcription factor
SIX2	1	1000000	Transcription factor
SIX3	1	1000000	Transcription factor
SIX4	1	1000000	Transcription factor
SIX5	1	1000000	Transcription factor
SIX6	1	1000000	Transcription factor
SKIL	2	1100000	Transcription cofactor,Transcription factor
SKOR1	2	1100000	Transcription cofactor,Transcription factor
SKOR2	2	1100000	Transcription factor,Transcription cofactor
SLC18A1	1	0010000	Others
SLC20A1	1	0010000	Others
SMAD1	1	1000000	Transcription factor
SMAD2	1	1000000	Transcription factor
SMAD3	1	1000000	Transcription factor
SMAD4	1	1000000	Transcription factor
SMAD5	1	1000000	Transcription factor
SMAP2	1	0010000	Others
SMARCA1	2	1000100	Transcription factor,Chromatin remodeller
SMARCA4	3	1100100	Chromatin remodeller,Transcription cofactor,Transcription factor
SMARCA4	3	1100100	Transcription cofactor,Transcription factor,Chromatin remodeller
SMARCA5	3	1100100	Chromatin remodeller,Transcription factor,Transcription cofactor
SMARCA5	3	1100100	Transcription cofactor,Transcription factor,Chromatin remodeller
SMARCB1	3	1100100	Chromatin remodeller,Transcription cofactor,Transcription factor
SMARCB1	3	1100100	Chromatin remodeller,Transcription factor,Transcription cofactor
SMARCC1	2	1100000	Transcription cofactor,Transcription factor
SMARCC2	2	1100000	Transcription cofactor,Transcription factor
SMARCC2	2	1100000	Transcription factor,Transcription cofactor
SMARCE1	2	1100000	Transcription cofactor,Transcription factor
SMC1A	1	0010000	Others
SMC3	1	1000000	Transcription factor
SMC4	1	0010000	Others
SMPX	1	0010000	Others
SMUG1	1	0000010	Nuclear enzyme
SNAI1	1	1000000	Transcription factor
SNAI2	1	1000000	Transcription factor
SNAI3	1	1000000	Transcription factor
SNAPC1	1	0010000	Others
SNAPC4	1	1000000	Transcription factor
SNAPC5	2	1100000	Transcription cofactor,Transcription factor
SND1	2	0101000	Transcription cofactor,RNA binding protein
SNIP1	3	1101000	Transcription cofactor,RNA binding protein,Transcription factor
SNRNP70	2	1001000	RNA binding protein,Transcription factor
SNRNP70	2	1001000	Transcription factor,RNA binding protein
SNRPB2	1	0010000	Others
SOAT1	1	0000010	Nuclear enzyme
SOCS4	1	0010000	Others
SOHLH2	1	1000000	Transcription factor
SON	3	1001100	RNA binding protein,Transcription factor,Chromatin remodeller
SOX10	1	1000000	Transcription factor
SOX1	1	1000000	Transcription factor
SOX11	1	1000000	Transcription factor
SOX12	1	1000000	Transcription factor
SOX13	1	1000000	Transcription factor
SOX14	1	1000000	Transcription factor
SOX15	1	1000000	Transcription factor
SOX17	1	1000000	Transcription factor
SOX18	1	1000000	Transcription factor
SOX2	1	1000000	Transcription factor
SOX21	1	1000000	Transcription factor
SOX30	1	1000000	Transcription factor
SOX3	1	1000000	Transcription factor
SOX4	1	1000000	Transcription factor
SOX5	1	1000000	Transcription factor
SOX6	1	1000000	Transcription factor
SOX7	1	1000000	Transcription factor
SOX8	1	1000000	Transcription factor
SOX9	1	1000000	Transcription factor
SP100	2	1100000	Transcription cofactor,Transcription factor
SP1	1	1000000	Transcription factor
SP2	1	1000000	Transcription factor
SP3	1	1000000	Transcription factor
SP4	1	1000000	Transcription factor
SP5	1	1000000	Transcription factor
SP8	1	1000000	Transcription factor
SP9	1	1000000	Transcription factor
SPAG7	1	0010000	Others
SPDEF	1	1000000	Transcription factor
SPI1	1	1000000	Transcription factor
SPIB	1	1000000	Transcription factor
SPIC	1	1000000	Transcription factor
SPR	2	1001000	RNA binding protein,Transcription factor
SPZ1	1	1000000	Transcription factor
SRBD1	1	0010000	Others
SREBF1	1	1000000	Transcription factor
SREBF2	1	1000000	Transcription factor
SRF	2	1001000	RNA binding protein,Transcription factor
SRP9	1	0010000	Others
SRSF1	1	0001000	RNA binding protein
SRSF3	2	1001000	Transcription factor,RNA binding protein
SRSF7	2	1001000	RNA binding protein,Transcription factor
SRSF9	2	1001000	Transcription factor,RNA binding protein
SRY	2	1001000	Transcription factor,RNA binding protein
SSBP3	1	0100000	Transcription cofactor
SSRP1	2	1001000	Transcription factor,RNA binding protein
SSX2	1	0100000	Transcription cofactor
STAG1	1	0010000	Others
STAT1	1	1000000	Transcription factor
STAT2	1	1000000	Transcription factor
STAT3	1	1000000	Transcription factor
STAT4	1	1000000	Transcription factor
STAT5A	1	1000000	Transcription factor
STAT5B	1	1000000	Transcription factor
STAT6	1	1000000	Transcription factor
STAU2	1	0010000	Others
SUCLG1	1	0001000	RNA binding protein
SUMO2	1	0000100	Chromatin remodeller
SUPT20H	2	1100000	Transcription factor,Transcription cofactor
SUPT5H	3	1101000	RNA binding protein,Transcription factor,Transcription cofactor
SUZ12	5	1101101	Polycomb group (PcG) protein,Transcription factor,Transcription cofactor,Chromatin remodeller,RNA binding protein
SUZ12	5	1101101	Transcription cofactor,Transcription factor,RNA binding protein,Chromatin remodeller,Polycomb group (PcG) protein
T	2	1001000	Transcription factor,RNA binding protein
TAF1	4	1101100	RNA binding protein,Chromatin remodeller,Transcription cofactor,Transcription factor
TAF1	4	1101100	Transcription cofactor,RNA binding protein,Transcription factor,Chromatin remodeller
TAF15	3	1101000	Transcription cofactor,RNA binding protein,Transcription factor
TAF1A	1	0100000	Transcription cofactor
TAF2	3	1101000	RNA binding protein,Transcription cofactor,Transcription factor
TAF3	3	1100100	Transcription factor,Transcription cofactor,Chromatin remodeller
TAF7	2	1100000	Transcription cofactor,Transcription factor
TAF9B	2	1100000	Transcription factor,Transcription cofactor
TAGLN2	1	0010000	Others
TAL1	1	1000000	Transcription factor
TARDBP	2	1001000	Transcription factor,RNA binding protein
TBL1X	2	1100000	Transcription cofactor,Transcription factor
TBL1XR1	2	1100000	Transcription factor,Transcription cofactor
TBP	3	1101000	RNA binding protein,Transcription cofactor,Transcription factor
TBP	3	1101000	Transcription cofactor,Transcription factor,RNA binding protein
TBPL1	2	1100000	Transcription factor,Transcription cofactor
TBPL2	2	1100000	Transcription factor,Transcription cofactor
TBR1	1	1000000	Transcription factor
TBX10	1	1000000	Transcription factor
TBX1	1	1000000	Transcription factor
TBX15	1	1000000	Transcription factor
TBX18	1	1000000	Transcription factor
TBX19	1	1000000	Transcription factor
TBX20	1	1000000	Transcription factor
TBX2	1	1000000	Transcription factor
TBX21	1	1000000	Transcription factor
TBX3	1	1000000	Transcription factor
TBX4	1	1000000	Transcription factor
TBX5	1	1000000	Transcription factor
TBX6	1	1000000	Transcription factor
TCEAL2	1	0100000	Transcription cofactor
TCEAL6	1	0010000	Others
TCF12	1	1000000	Transcription factor
TCF15	1	1000000	Transcription factor
TCF21	1	1000000	Transcription factor
TCF23	1	1000000	Transcription factor
TCF25	1	1000000	Transcription factor
TCF3	1	1000000	Transcription factor
TCF4	1	1000000	Transcription factor
TCF7	1	1000000	Transcription factor
TCF7L1	1	1000000	Transcription factor
TCF7L2	1	1000000	Transcription factor
TCFL5	1	1000000	Transcription factor
TEAD1	1	1000000	Transcription factor
TEAD2	1	1000000	Transcription factor
TEAD3	1	1000000	Transcription factor
TEAD4	1	1000000	Transcription factor
TEF	2	1001000	Transcription factor,RNA binding protein
TERF1	1	1000000	Transcription factor
TERF2	1	1000000	Transcription factor
TET1	2	1000100	Chromatin remodeller,Transcription factor
TFAM	1	1000000	Transcription factor
TFAP2A	1	1000000	Transcription factor
TFAP2B	1	1000000	Transcription factor
TFAP2C	1	1000000	Transcription factor
TFAP2D	1	1000000	Transcription factor
TFAP2E	1	1000000	Transcription factor
TFAP4	1	1000000	Transcription factor
TFCP2	1	1000000	Transcription factor
TFCP2L1	1	1000000	Transcription factor
TFDP1	1	1000000	Transcription factor
TFDP2	1	1000000	Transcription factor
TFE3	1	1000000	Transcription factor
TFEB	1	1000000	Transcription factor
TFEC	1	1000000	Transcription factor
TGIF1	1	1000000	Transcription factor
TGIF2	1	1000000	Transcription factor
TGIF2LX	1	1000000	Transcription factor
TGIF2LY	1	1000000	Transcription factor
THAP1	1	1000000	Transcription factor
THAP11	1	1000000	Transcription factor
THAP12	1	1000000	Transcription factor
THAP5	1	1000000	Transcription factor
THRA	2	1001000	RNA binding protein,Transcription factor
THRAP3	3	1101000	Transcription factor,RNA binding protein,Transcription cofactor
THRB	1	1000000	Transcription factor
TIA1	1	0001000	RNA binding protein
TIMM44	1	0000010	Nuclear enzyme
TIMM8A	1	0000010	Nuclear enzyme
TLE3	1	0100000	Transcription cofactor
TLX1	1	1000000	Transcription factor
