gene	number	code	class
ZFX	2	1001000	RNA binding protein,Transcription factor
ZFY	2	1001000	RNA binding protein,Transcription factor
ZHX1	1	1000000	Transcription factor
ZHX2	1	1000000	Transcription factor
ZHX3	1	1000000	Transcription factor
ZIC1	1	1000000	Transcription factor
ZIC2	1	1000000	Transcription factor
ZIC3	1	1000000	Transcription factor
ZIC4	1	1000000	Transcription factor
ZIC5	1	1000000	Transcription factor
ZIM3	1	1000000	Transcription factor
ZKSCAN1	1	1000000	Transcription factor
ZKSCAN3	1	1000000	Transcription factor
ZKSCAN7	1	1000000	Transcription factor
ZKSCAN8	1	1000000	Transcription factor
ZMAT4	1	1000000	Transcription factor
ZMIZ1	1	1000000	Transcription factor
ZMYM3	1	1000000	Transcription factor
ZMYND11	2	0100100	Chromatin remodeller,Transcription cofactor
ZNF12	1	1000000	Transcription factor
ZNF121	1	1000000	Transcription factor
ZNF124	1	1000000	Transcription factor
ZNF131	1	1000000	Transcription factor
ZNF134	1	1000000	Transcription factor
ZNF135	1	1000000	Transcription factor
ZNF136	1	1000000	Transcription factor
ZNF140	1	1000000	Transcription factor
ZNF143	1	1000000	Transcription factor
ZNF146	1	1000000	Transcription factor
ZNF148	1	1000000	Transcription factor
ZNF160	1	1000000	Transcription factor
ZNF165	1	1000000	Transcription factor
ZNF174	1	1000000	Transcription factor
ZNF175	1	1000000	Transcription factor
ZNF177	1	1000000	Transcription factor
ZNF18	1	1000000	Transcription factor
ZNF184	1	1000000	Transcription factor
ZNF197	1	1000000	Transcription factor
ZNF200	1	1000000	Transcription factor
ZNF202	1	1000000	Transcription factor
ZNF205	1	1000000	Transcription factor
ZNF207	1	1000000	Transcription factor
ZNF214	1	1000000	Transcription factor
ZNF217	1	1000000	Transcription factor
ZNF219	1	1000000	Transcription factor
ZNF22	1	1000000	Transcription factor
ZNF23	1	1000000	Transcription factor
ZNF232	1	1000000	Transcription factor
ZNF236	1	1000000	Transcription factor
ZNF24	1	1000000	Transcription factor
ZNF250	1	1000000	Transcription factor
ZNF257	1	1000000	Transcription factor
ZNF260	1	1000000	Transcription factor
ZNF26	2	1001000	Transcription factor,RNA binding protein
ZNF263	1	1000000	Transcription factor
ZNF264	1	1000000	Transcription factor
ZNF266	1	1000000	Transcription factor
ZNF274	1	1000000	Transcription factor
ZNF276	1	1000000	Transcription factor
ZNF280A	1	1000000	Transcription factor
ZNF280D	1	1000000	Transcription factor
ZNF281	1	1000000	Transcription factor
ZNF282	1	1000000	Transcription factor
ZNF296	1	1000000	Transcription factor
ZNF30	1	1000000	Transcription factor
ZNF304	1	1000000	Transcription factor
ZNF316	1	1000000	Transcription factor
ZNF317	1	1000000	Transcription factor
ZNF318	1	1000000	Transcription factor
ZNF320	1	1000000	Transcription factor
ZNF3	2	1001000	Transcription factor,RNA binding protein
ZNF32	2	1001000	RNA binding protein,Transcription factor
ZNF322	1	1000000	Transcription factor
ZNF324	1	1000000	Transcription factor
ZNF326	2	1001000	Transcription factor,RNA binding protein
ZNF329	1	1000000	Transcription factor
ZNF331	1	1000000	Transcription factor
ZNF333	1	1000000	Transcription factor
ZNF335	1	1000000	Transcription factor
ZNF33A	1	1000000	Transcription factor
ZNF34	1	1000000	Transcription factor
ZNF341	1	1000000	Transcription factor
ZNF343	1	1000000	Transcription factor
ZNF345	1	1000000	Transcription factor
ZNF350	1	1000000	Transcription factor
ZNF35	1	1000000	Transcription factor
ZNF354A	1	1000000	Transcription factor
ZNF354B	1	1000000	Transcription factor
ZNF354C	1	1000000	Transcription factor
ZNF37A	1	1000000	Transcription factor
ZNF382	1	1000000	Transcription factor
ZNF384	1	1000000	Transcription factor
ZNF385A	1	1000000	Transcription factor
ZNF385D	1	1000000	Transcription factor
ZNF394	1	1000000	Transcription factor
ZNF395	1	1000000	Transcription factor
ZNF396	1	1000000	Transcription factor
ZNF407	1	1000000	Transcription factor
ZNF410	1	1000000	Transcription factor
ZNF41	1	1000000	Transcription factor
ZNF415	1	1000000	Transcription factor
ZNF418	1	1000000	Transcription factor
ZNF419	1	1000000	Transcription factor
ZNF423	1	1000000	Transcription factor
ZNF436	1	1000000	Transcription factor
ZNF444	1	1000000	Transcription factor
ZNF449	1	1000000	Transcription factor
ZNF454	1	1000000	Transcription factor
ZNF460	1	1000000	Transcription factor
ZNF467	1	1000000	Transcription factor
ZNF490	1	1000000	Transcription factor
ZNF501	1	1000000	Transcription factor
ZNF502	1	1000000	Transcription factor
ZNF503	1	1000000	Transcription factor
ZNF507	1	1000000	Transcription factor
ZNF510	1	1000000	Transcription factor
ZNF512	1	1000000	Transcription factor
ZNF513	1	1000000	Transcription factor
ZNF524	1	1000000	Transcription factor
ZNF528	1	1000000	Transcription factor
ZNF547	1	1000000	Transcription factor
ZNF549	1	1000000	Transcription factor
ZNF554	1	1000000	Transcription factor
ZNF563	1	1000000	Transcription factor
ZNF574	1	1000000	Transcription factor
ZNF580	1	1000000	Transcription factor
ZNF581	1	1000000	Transcription factor
ZNF582	1	1000000	Transcription factor
ZNF584	1	1000000	Transcription factor
ZNF586	1	1000000	Transcription factor
ZNF589	1	1000000	Transcription factor
ZNF592	1	1000000	Transcription factor
ZNF596	1	1000000	Transcription factor
ZNF597	1	1000000	Transcription factor
ZNF618	1	1000000	Transcription factor
ZNF628	1	1000000	Transcription factor
ZNF639	1	1000000	Transcription factor
ZNF644	1	1000000	Transcription factor
ZNF652	1	1000000	Transcription factor
ZNF655	1	1000000	Transcription factor
ZNF660	1	1000000	Transcription factor
ZNF667	1	1000000	Transcription factor
ZNF669	1	1000000	Transcription factor
ZNF671	1	1000000	Transcription factor
ZNF680	1	1000000	Transcription factor
ZNF682	1	1000000	Transcription factor
ZNF683	1	1000000	Transcription factor
ZNF684	1	1000000	Transcription factor
ZNF691	1	1000000	Transcription factor
ZNF695	1	1000000	Transcription factor
ZNF704	1	1000000	Transcription factor
ZNF706	1	1000000	Transcription factor
ZNF708	1	1000000	Transcription factor
ZNF71	1	1000000	Transcription factor
ZNF711	1	1000000	Transcription factor
ZNF713	1	1000000	Transcription factor
ZNF720	1	1000000	Transcription factor
ZNF740	1	1000000	Transcription factor
ZNF750	1	1000000	Transcription factor
ZNF75A	1	1000000	Transcription factor
ZNF75D	1	1000000	Transcription factor
ZNF76	1	1000000	Transcription factor
ZNF766	1	1000000	Transcription factor
ZNF768	1	1000000	Transcription factor
ZNF770	1	1000000	Transcription factor
ZNF771	1	1000000	Transcription factor
ZNF774	1	1000000	Transcription factor
ZNF777	1	1000000	Transcription factor
ZNF778	1	1000000	Transcription factor
ZNF784	1	1000000	Transcription factor
ZNF787	1	1000000	Transcription factor
ZNF816	1	1000000	Transcription factor
ZNF8	2	1001000	Transcription factor,RNA binding protein
ZNF821	1	1000000	Transcription factor
ZNF830	1	1000000	Transcription factor
ZNF83	1	1000000	Transcription factor
ZNF85	1	1000000	Transcription factor
ZNF92	1	1000000	Transcription factor
ZSCAN10	1	1000000	Transcription factor
ZSCAN1	1	1000000	Transcription factor
ZSCAN16	1	1000000	Transcription factor
ZSCAN22	1	1000000	Transcription factor
ZSCAN23	1	1000000	Transcription factor
ZSCAN26	1	1000000	Transcription factor
ZSCAN29	1	1000000	Transcription factor
ZSCAN31	1	1000000	Transcription factor
ZSCAN4	1	1000000	Transcription factor
ZSCAN5A	1	1000000	Transcription factor
ZSCAN9	1	1000000	Transcription factor
ZSWIM1	1	0010000	Others
ZZZ3	1	1000000	Transcription factor
