motif	TR
HM10194	GLI1
HM00010	GLI2
HM01656	GLI2
HM02284	GLI2
HM05236	GLI3
HM05466	GLI3
HM06502	GLI3
HM04616	GLI4
HM04617	GLI4
HM04618	GLI4
HM01658	GLIS1
HM09054	GLIS1
HM09055	GLIS1
HM03498	GLIS2
HM03758	GLIS2
HM09056	GLIS2
HM02286	GLIS3
HM03759	GLIS3
HM05662	GLYCTK
HM06838	GLYR1
HM06839	GLYR1
HM06841	GLYR1
HM00824	GMEB1
HM08845	GMEB1
HM08846	GMEB1
HM00229	GMEB2
HM01663	GMEB2
HM01664	GMEB2
HM05663	GOT1
HM05665	GPD1
HM01666	GRHL1
HM05666	GRHL1
HM05237	GRHL2
HM06461	GRHL2
HM04621	GRHL3
HM04622	GRHL3
HM05667	GRHPR
HM04250	GSC2
HM07770	GSC2
HM07771	GSC2
HM03610	GSC
HM04251	GSC
HM07766	GSC
HM06844	GSPT2
HM06846	GSPT2
HM00442	GSX1
HM07595	GSX1
HM07596	GSX1
HM03611	GSX2
HM07593	GSX2
HM07594	GSX2
HM10900	GTF2A1
HM05668	GTF2B
HM10207	GTF2F1
HM05669	GTF2H3
HM03174	GTF2I
HM10208	GTF2I
HM04625	GTF3A
HM04626	GTF3A
HM04628	GTF3A
HM05670	GTF3C2
HM05672	GTPBP1
HM05673	GTPBP6
HM03319	GZF1
HM10209	GZF1
HM05674	H1FX
HM05675	H2AFY
HM05676	H2AFZ
HM03408	HAND1
HM10210	HAND1
HM02287	HAND2
HM08010	HAND2
HM02288	HBP1
HM03501	HBP1
HM10212	HCFC1
HM05677	HCFC2
HM05678	HCLS1
HM06847	HDAC1
HM06849	HDAC1
HM02712	HDAC2
HM02757	HDAC2
HM02761	HDAC2
HM06855	HDAC3
HM06856	HDAC3
HM06858	HDAC6
HM06861	HDAC6
HM05679	HDAC8
HM06863	HDGF
HM06864	HDGF
HM06865	HDGF
HM00787	HDX
HM10213	HDX
HM05238	HENMT1
HM03018	HERPUD1
HM07906	HES1
HM10214	HES1
HM07907	HES2
HM07908	HES2
HM00715	HES4
HM01673	HES5
HM05680	HES5
HM07913	HES5
HM07909	HES6
HM04064	HES7
HM07910	HES7
HM07911	HES7
HM01676	HESX1
HM02291	HESX1
HM07815	HESX1
HM06868	HEXIM1
HM06870	HEXIM1
HM06871	HEXIM1
HM00291	HEY1
HM02697	HEY1
HM07902	HEY1
HM04066	HEY2
HM04067	HEY2
HM07900	HEY2
HM00713	HEYL
HM05681	HHAT
HM05682	HHEX
HM03765	HIC1
HM05239	HIC1
HM09455	HIC1
HM01680	HIC2
HM03092	HIF1A
HM05467	HIF1A
HM04630	HIF3A
HM04632	HIF3A
HM04633	HIF3A
HM00890	HINFP
HM01681	HINFP
HM01683	HINFP
HM05684	HIRIP3
HM05685	HIST1H2BN
HM05686	HIST2H2AB
HM05687	HIST2H2BE
HM02562	HIVEP1
HM02563	HIVEP2
HM04634	HIVEP3
HM01042	HLF
HM02296	HLF
HM04120	HLF
HM02297	HLTF
HM03418	HLTF
HM00792	HLX
HM10226	HLX
HM01685	HMBOX1
HM03615	HMBOX1
HM07888	HMBOX1
HM00827	HMG20B
HM02298	HMGA1
HM03197	HMGA1
HM03293	HMGA1
HM10229	HMGA2
HM02693	HMGN3
HM02767	HMGN3
HM01686	HMX1
HM07489	HMX1
HM10230	HMX1
HM00448	HMX2
HM03617	HMX2
HM07491	HMX2
HM03072	HMX3
HM03618	HMX3
HM04261	HMX3
HM02984	HNF1A
HM03376	HNF1A
HM04262	HNF1A
HM03455	HNF1B
HM04263	HNF1B
HM01436	HNF4A
HM08596	HNF4A
HM00916	HNF4G
HM02303	HNF4G
HM05246	HNF4G
HM05690	HNRNPA0
HM05691	HNRNPA1
HM05692	HNRNPC
HM05693	HNRNPH3
HM05694	HNRNPLL
HM03619	HOMEZ
HM03884	HOMEZ
HM07641	HOXA10
HM07644	HOXA10
HM07665	HOXA11
HM07666	HOXA11
HM00457	HOXA13
HM07679	HOXA13
HM07598	HOXA1
HM07599	HOXA1
HM10241	HOXA1
HM05469	HOXA2
HM07582	HOXA2
HM07583	HOXA2
HM01049	HOXA3
HM03625	HOXA3
HM06504	HOXA3
HM03626	HOXA4
HM07562	HOXA4
HM10244	HOXA4
HM01048	HOXA5
HM03460	HOXA5
HM07551	HOXA5
HM03628	HOXA6
HM06506	HOXA6
HM07541	HOXA6
HM03328	HOXA7
HM03630	HOXA7
HM07536	HOXA7
HM05470	HOXA9
HM07629	HOXA9
HM07630	HOXA9
HM01707	HOXB13
HM07692	HOXB13
HM07604	HOXB1
HM07605	HOXB1
HM10250	HOXB1
HM04275	HOXB2
HM07584	HOXB2
HM07585	HOXB2
HM03633	HOXB3
HM04276	HOXB3
HM03634	HOXB4
HM05471	HOXB4
HM07568	HOXB4
HM07547	HOXB5
HM07548	HOXB5
HM02315	HOXB6
HM07538	HOXB6
HM07539	HOXB6
HM02316	HOXB7
HM07528	HOXB7
HM07529	HOXB7
HM02317	HOXB8
HM07573	HOXB8
HM07574	HOXB8
HM05696	HOXB9
HM07615	HOXB9
HM07616	HOXB9
HM00466	HOXC10
HM04299	HOXC10
HM04300	HOXC10
