motif	TR
HM04795	ZBTB24
HM05953	ZBTB25
HM08942	ZBTB26
HM09188	ZBTB2
HM09189	ZBTB2
HM09159	ZBTB32
HM02590	ZBTB33
HM02840	ZBTB33
HM03334	ZBTB33
HM09184	ZBTB37
HM09185	ZBTB37
HM04796	ZBTB39
HM04797	ZBTB39
HM04800	ZBTB39
HM00740	ZBTB3
HM10655	ZBTB3
HM01127	ZBTB42
HM09167	ZBTB43
HM04801	ZBTB44
HM09168	ZBTB45
HM05956	ZBTB46
HM04802	ZBTB48
HM04805	ZBTB48
HM02127	ZBTB49
HM02558	ZBTB4
HM05265	ZBTB4
HM05954	ZBTB4
HM02560	ZBTB6
HM05415	ZBTB6
HM10658	ZBTB6
HM02801	ZBTB7A
HM09071	ZBTB7A
HM02129	ZBTB7B
HM09073	ZBTB7B
HM10660	ZBTB7B
HM00032	ZBTB7C
HM07304	ZC3H11A
HM07306	ZC3H11A
HM07307	ZC3H11A
HM05957	ZC3H7A
HM07309	ZC3H8
HM07310	ZC3H8
HM07311	ZC3H8
HM05958	ZCCHC14
HM05959	ZCCHC17
HM05960	ZDHHC15
HM00958	ZEB1
HM01229	ZEB1
HM03414	ZEB1
HM07313	ZEB2
HM07315	ZEB2
HM04809	ZFAT
HM04810	ZFAT
HM04811	ZFAT
HM00766	ZFHX2
HM00768	ZFHX3
HM10663	ZFHX3
HM06566	ZFP14
HM09139	ZFP1
HM05417	ZFP28
HM04815	ZFP30
HM04816	ZFP30
HM07319	ZFP36
HM07321	ZFP36
HM07322	ZFP36
HM05962	ZFP3
HM08905	ZFP41
HM05418	ZFP42
HM08903	ZFP42
HM04818	ZFP64
HM04819	ZFP64
HM04821	ZFP64
HM05419	ZFP82
HM06567	ZFP82
HM03441	ZFX
HM05420	ZFX
HM05560	ZFX
HM00896	ZFY
HM07324	ZHX2
HM07325	ZHX2
HM07326	ZHX2
HM05963	ZHX3
HM03785	ZIC1
HM05421	ZIC1
HM02567	ZIC2
HM03574	ZIC2
HM10666	ZIC2
HM02568	ZIC3
HM09064	ZIC3
HM00035	ZIC4
HM09066	ZIC4
HM09067	ZIC4
HM00734	ZIC5
HM09068	ZIC5
HM05423	ZIM3
HM10669	ZKSCAN1
HM03791	ZKSCAN3
HM06570	ZKSCAN7
HM05969	ZKSCAN8
HM05965	ZMAT4
HM07328	ZMIZ1
HM07330	ZMIZ1
HM07331	ZMIZ1
HM07335	ZMYND11
HM07336	ZMYND11
HM07337	ZMYND11
HM04823	ZNF121
HM04825	ZNF121
HM04826	ZNF121
HM05966	ZNF124
HM09145	ZNF12
HM09146	ZNF12
HM05967	ZNF131
HM04828	ZNF134
HM04829	ZNF134
HM04831	ZNF134
HM06569	ZNF135
HM04833	ZNF136
HM04835	ZNF136
HM09137	ZNF140
HM00036	ZNF143
HM02631	ZNF143
HM05331	ZNF146
HM02570	ZNF148
HM10672	ZNF148
HM05968	ZNF160
HM04837	ZNF165
HM04838	ZNF165
HM07339	ZNF165
HM08957	ZNF174
HM04842	ZNF175
HM07344	ZNF175
HM09147	ZNF177
HM09148	ZNF177
HM04845	ZNF184
HM04848	ZNF184
HM05424	ZNF18
HM07348	ZNF197
HM07350	ZNF197
HM11027	ZNF200
HM00728	ZNF202
HM05971	ZNF205
HM05972	ZNF207
HM04852	ZNF214
HM04853	ZNF214
HM04857	ZNF217
HM07352	ZNF217
HM03335	ZNF219
HM10673	ZNF219
HM10965	ZNF219
HM04861	ZNF22
HM04863	ZNF22
HM00622	ZNF232
HM04865	ZNF236
HM04866	ZNF236
HM09143	ZNF23
HM09144	ZNF23
HM07356	ZNF24
HM07359	ZNF24
HM05974	ZNF250
HM09125	ZNF250
HM04871	ZNF257
HM04872	ZNF257
HM04875	ZNF260
HM04876	ZNF260
HM04877	ZNF260
HM02798	ZNF263
HM05562	ZNF263
HM06195	ZNF263
HM04879	ZNF264
HM04881	ZNF264
HM04883	ZNF264
HM04885	ZNF266
HM04888	ZNF266
HM05975	ZNF26
HM01301	ZNF274
HM01351	ZNF274
HM08923	ZNF276
HM08924	ZNF276
HM04889	ZNF280A
HM04890	ZNF280A
HM04891	ZNF280A
HM04894	ZNF280D
HM04897	ZNF280D
HM04898	ZNF280D
HM00733	ZNF281
HM08898	ZNF281
HM10677	ZNF281
HM04487	ZNF282
HM06571	ZNF282
HM09136	ZNF282
HM08915	ZNF296
HM08916	ZNF296
HM05977	ZNF304
HM04900	ZNF30
HM04901	ZNF30
HM04902	ZNF30
HM04904	ZNF317
HM04905	ZNF317
HM04907	ZNF317
HM07362	ZNF318
HM07363	ZNF318
HM07365	ZNF318
HM04911	ZNF320
HM04913	ZNF320
HM04916	ZNF322
HM04917	ZNF322
HM04918	ZNF322
HM04920	ZNF324
HM04923	ZNF324
HM05980	ZNF326
HM04927	ZNF329
HM04928	ZNF329
HM00739	ZNF32
HM08907	ZNF32
HM04930	ZNF331
HM04932	ZNF331
HM04933	ZNF331
HM02573	ZNF333
HM04934	ZNF335
HM04936	ZNF335
HM04938	ZNF335
HM04940	ZNF33A
HM04942	ZNF33A
HM04943	ZNF33A
HM04944	ZNF341
HM04945	ZNF341
HM04947	ZNF341
HM09141	ZNF343
HM09142	ZNF343
HM08913	ZNF345
HM08914	ZNF345
HM04951	ZNF34
HM04953	ZNF34
HM02574	ZNF350
HM03327	ZNF350
HM10959	ZNF350
HM04954	ZNF354A
HM04956	ZNF354A
HM04957	ZNF354A
HM00889	ZNF354C
HM00738	ZNF35
HM10681	ZNF35
HM04959	ZNF37A
HM04961	ZNF37A
HM04965	ZNF382
HM04966	ZNF382
HM04967	ZNF382
HM03186	ZNF384
HM06481	ZNF384
HM08909	ZNF384
HM05981	ZNF385A
HM09105	ZNF385D
HM09106	ZNF385D
HM04970	ZNF394
HM04971	ZNF394
HM04972	ZNF394
HM08967	ZNF396
HM08968	ZNF396
HM05976	ZNF3
HM04973	ZNF407
HM04975	ZNF407
HM04976	ZNF407
HM00040	ZNF410
HM03570	ZNF410
HM08895	ZNF410
HM06572	ZNF415
HM04980	ZNF418
HM04981	ZNF418
HM04982	ZNF418
HM04985	ZNF419
HM04987	ZNF419
HM05425	ZNF41
HM01124	ZNF423
HM02576	ZNF423
HM03423	ZNF423
HM04988	ZNF436
HM04991	ZNF436
HM04992	ZNF436
HM08972	ZNF444
HM08961	ZNF449
HM08963	ZNF449
HM08964	ZNF449
HM09122	ZNF454
HM09123	ZNF454
HM09124	ZNF454
HM09153	ZNF460
HM09154	ZNF460
HM04996	ZNF467
HM04997	ZNF467
HM05000	ZNF490
HM05001	ZNF490
HM08925	ZNF501
HM08926	ZNF501
HM05006	ZNF502
HM05007	ZNF502
HM05982	ZNF503
HM05983	ZNF510
HM05010	ZNF513
HM05011	ZNF513
HM05012	ZNF513
HM00041	ZNF524
HM03794	ZNF524
HM08939	ZNF524
HM05015	ZNF528
HM05017	ZNF528
HM05018	ZNF547
HM05022	ZNF547
HM05024	ZNF549
HM05026	ZNF549
HM05027	ZNF549
HM05028	ZNF554
HM05029	ZNF554
HM05032	ZNF554
HM05035	ZNF563
HM05037	ZNF563
HM05039	ZNF574
HM05040	ZNF574
HM05041	ZNF574
HM08885	ZNF580
HM08887	ZNF580
HM08888	ZNF580
HM05044	ZNF581
HM05045	ZNF581
HM05046	ZNF581
HM05048	ZNF582
HM05049	ZNF582
HM05052	ZNF582
HM07368	ZNF584
HM07370	ZNF584
HM05053	ZNF586
HM05055	ZNF586
HM05057	ZNF586
HM02577	ZNF589
HM03329	ZNF589
HM07372	ZNF592
HM07373	ZNF592
HM05059	ZNF596
HM05061	ZNF596
HM05062	ZNF596
HM09149	ZNF597
HM09150	ZNF597
HM05065	ZNF618
HM05067	ZNF618
HM03323	ZNF628
HM05069	ZNF639
HM05071	ZNF639
HM07378	ZNF639
HM05073	ZNF644
HM07379	ZNF644
HM02152	ZNF652
HM05984	ZNF655
HM11028	ZNF655
HM08933	ZNF660
HM05080	ZNF667
HM05081	ZNF667
HM05082	ZNF667
HM05084	ZNF669
HM05085	ZNF669
HM05087	ZNF669
HM05985	ZNF671
HM05089	ZNF680
HM05090	ZNF680
HM05091	ZNF680
HM06573	ZNF682
HM01291	ZNF683
HM09151	ZNF684
HM00736	ZNF691
HM03571	ZNF691
HM05986	ZNF695
HM08936	ZNF704
HM05987	ZNF706
HM05096	ZNF708
HM05097	ZNF708
HM05563	ZNF711
HM02144	ZNF713
HM09132	ZNF713
HM09133	ZNF713
HM05988	ZNF71
HM05989	ZNF720
HM00043	ZNF740
HM00044	ZNF740
HM09076	ZNF740
HM07385	ZNF750
HM07387	ZNF750
HM07388	ZNF750
HM00045	ZNF75A
HM09127	ZNF75A
HM09129	ZNF75A
HM02147	ZNF75D
HM05991	ZNF766
HM05101	ZNF768
HM05102	ZNF768
HM00875	ZNF76
HM05990	ZNF76
HM08921	ZNF76
HM05103	ZNF770
HM05106	ZNF770
HM05107	ZNF770
HM08917	ZNF771
HM08919	ZNF771
HM08920	ZNF771
HM05110	ZNF774
HM05112	ZNF774
HM06574	ZNF777
HM05113	ZNF778
HM05115	ZNF778
HM05116	ZNF778
HM02148	ZNF784
HM08927	ZNF784
HM08928	ZNF784
HM08929	ZNF787
HM08930	ZNF787
HM08931	ZNF787
HM05118	ZNF816
HM05120	ZNF816
HM08937	ZNF821
HM08938	ZNF821
HM05598	ZNF830
HM05123	ZNF83
HM05125	ZNF83
HM07393	ZNF83
HM05427	ZNF85
HM03566	ZNF8
HM05428	ZNF8
HM05131	ZNF92
HM07396	ZNF92
HM07398	ZNF92
HM00727	ZSCAN10
HM02141	ZSCAN16
HM08954	ZSCAN16
HM08955	ZSCAN16
HM08943	ZSCAN1
HM05134	ZSCAN22
HM05136	ZSCAN22
HM08951	ZSCAN23
HM03568	ZSCAN26
HM08969	ZSCAN29
HM05979	ZSCAN31
HM08966	ZSCAN31
HM03499	ZSCAN4
HM06575	ZSCAN4
HM08947	ZSCAN5A
HM08949	ZSCAN9
HM05993	ZSWIM1
HM07399	ZZZ3
HM07402	ZZZ3
